quadkey,avg_d_mbps,avg_u_mbps,avg_lat_ms,tests,devices,DISTRITO,year,quarter,year_quarter,date
2100300120300112,15.194,8.299,58,8,5,CALLAO,2019,1,2019Q1,2019-01-01
2100300120123011,12.118,2.145,19,4,3,CALLAO,2019,1,2019Q1,2019-01-01
2100300120120333,62.295,6.563,74,1,1,CALLAO,2019,1,2019Q1,2019-01-01
2100300120121210,31.783,4.071,12,4,4,CALLAO,2019,1,2019Q1,2019-01-01
2100300120121232,22.211,3.772,18,16,7,CALLAO,2019,1,2019Q1,2019-01-01
2100300120121221,28.012,6.662,9,25,3,CALLAO,2019,1,2019Q1,2019-01-01
2100300120123132,24.758,3.185,10,58,5,CALLAO,2019,1,2019Q1,2019-01-01
2100300120301022,23.027,4.419,21,25,6,CALLAO,2019,1,2019Q1,2019-01-01
2100300120123031,36.442,4.065,58,24,8,CALLAO,2019,1,2019Q1,2019-01-01
2100300120301102,38.301,10.619,14,7,3,CALLAO,2019,1,2019Q1,2019-01-01
2100300120300133,21.769,3.915,21,59,10,CALLAO,2019,1,2019Q1,2019-01-01
2100300120123302,15.545,3.01,21,12,6,CALLAO,2019,1,2019Q1,2019-01-01
2100300120301121,22.641,4.633,20,67,22,CALLAO,2019,1,2019Q1,2019-01-01
2100300120123233,1.2,8.556,20,1,1,CALLAO,2019,1,2019Q1,2019-01-01
2100300120123213,14.634,10.622,73,52,9,CALLAO,2019,1,2019Q1,2019-01-01
2100300120103220,5.881,1.628,77,1,1,CALLAO,2019,1,2019Q1,2019-01-01
2100300120123120,29.938,3.781,136,74,11,CALLAO,2019,1,2019Q1,2019-01-01
2100300120301000,4.694,1.277,19,165,2,CALLAO,2019,1,2019Q1,2019-01-01
2100300120123013,18.294,2.846,16,29,13,CALLAO,2019,1,2019Q1,2019-01-01
2100300120121022,11.387,2.443,12,4,2,CALLAO,2019,1,2019Q1,2019-01-01
2100300120300122,9.831,2.541,22,3,2,CALLAO,2019,1,2019Q1,2019-01-01
2100300120123023,1.9,1.891,4,4,1,CALLAO,2019,1,2019Q1,2019-01-01
2100300120300312,25.647,3.593,13,3,3,CALLAO,2019,1,2019Q1,2019-01-01
2100300120122111,20.796,4.427,10,6,1,CALLAO,2019,1,2019Q1,2019-01-01
2100300120301120,30.214,7.826,19,8,4,CALLAO,2019,1,2019Q1,2019-01-01
2100300120300300,3.267,0.481,31,2,2,CALLAO,2019,1,2019Q1,2019-01-01
2100300120123323,21.447,1.834,15,9,2,CALLAO,2019,1,2019Q1,2019-01-01
2100300120123123,48.012,5.233,19,5,4,CALLAO,2019,1,2019Q1,2019-01-01
2100300120123212,6.802,1.426,193,5,3,CALLAO,2019,1,2019Q1,2019-01-01
2100300120301031,21.842,2.839,15,8,4,CALLAO,2019,1,2019Q1,2019-01-01
2100300120120311,2.969,3.639,4,1,1,CALLAO,2019,1,2019Q1,2019-01-01
2100300120300310,20.035,2.662,13,12,4,CALLAO,2019,1,2019Q1,2019-01-01
